MSFT,KO,DD,XOM,GE,IBM
-0.16167,-0.013948,-0.104364,0.035687,-0.136511,0.040556
-0.086845,-0.153428,-0.138136,-0.092105,-0.009355,-0.083563
0.188811,-0.031208,0.048267,0.034855,0.178735,0.148418
-0.343529,0.006658,-0.103896,-0.003208,0.010442,-0.055085
-0.103047,0.12963,0.040316,0.078069,0.005167,-0.03583
0.278721,0.079297,-0.107143,-0.057764,0.005931,0.020373
-0.127344,0.067465,0.035714,0.019108,-0.026903,0.026241
0,-0.141692,-0.001931,0.025812,0.140948,0.175142
-0.136079,0.050736,-0.076602,0.091884,-0.014711,-0.147727
0.141969,0.095238,0.095023,0.000701,-0.049837,-0.124444
-0.166969,0.040083,-0.05978,-0.008381,-0.095781,-0.049442
-0.244009,-0.026946,0.141802,-0.012074,-0.029559,-0.090909
0.407781,-0.048205,-0.095265,-0.032063,-0.040834,0.317647
-0.033777,-0.08569,0.00755,-0.03161,0.011309,-0.106875
-0.073093,-0.145012,-0.068437,-0.000617,-0.096344,-0.037237
0.238857,0.022808,0.110319,0.093827,0.159341,0.19713
0.021107,0.026196,0.034521,0.006659,0.009685,-0.027792
0.055218,-0.046835,0.039655,-0.015549,-0.005102,0.010733
-0.093288,-0.008889,-0.112355,-0.043847,-0.10441,-0.068938
-0.138087,0.091256,-0.03503,-0.033046,-0.057931,-0.048665
-0.103068,-0.033696,-0.084208,-0.01868,-0.088336,-0.082341
0.136408,0.021985,0.065832,0.001269,-0.021237,0.17826
0.104213,-0.015455,0.117529,-0.046134,0.057402,0.07088
0.031771,0.004046,-0.041272,0.050802,0.045714,0.046457
-0.03834,-0.07211,0.03905,-0.006361,-0.073104,-0.108052
-0.084288,0.0832,0.068372,0.063508,0.041184,-0.089258
0.033768,0.106985,0.006618,0.061259,-0.027273,0.059927
-0.133477,0.062189,-0.056204,-0.083505,-0.157543,-0.194615
-0.025832,0.000901,0.041573,-0.000249,-0.012995,-0.037727
0.074445,0.011519,-0.034783,0.024793,-0.061336,-0.105034
-0.122852,-0.108214,-0.056081,-0.101662,0.108434,-0.022222
0.022926,0.021225,-0.029826,-0.02938,-0.063665,0.072869
-0.108802,-0.055686,-0.105185,-0.100141,-0.176451,-0.226453
0.222451,-0.030859,0.14361,0.055172,0.024341,0.353799
0.078736,-0.013769,0.090182,0.040701,0.074059,0.10299
-0.103675,-0.039439,-0.049753,0.004023,-0.095133,-0.108375
-0.082012,-0.077099,-0.10684,-0.02261,-0.049692,0.009032
0.002107,-0.005932,-0.022445,0.002928,0.047537,-0.001279
0.021519,0.011934,0.059722,0.027337,0.060291,0.006158
0.055762,-0.001976,0.094442,0.007153,0.154902,0.082494
-0.037167,0.12797,-0.00094,0.041193,-0.025467,0.038869
0.041853,0.023261,-0.011865,-0.013462,0.005923,-0.062926
0.030031,-0.031028,0.055235,-0.00919,-0.008368,-0.015152
0.004165,-0.032244,0.026172,0.06661,0.039733,0.011323
0.048265,-0.007813,-0.105722,-0.029178,0.014542,0.077064
-0.053957,0.080075,0.009748,-0.000546,-0.026837,0.013019
-0.01645,0.006897,0.034901,-0.003554,-0.01172,0.013634
0.064566,0.091398,0.10685,0.132597,0.087548,0.023636
0.01023,-0.029754,-0.043365,-0.005122,0.085539,0.070673
-0.040506,0.014622,0.03508,0.039961,-0.027059,-0.025899
-0.060309,0.011809,-0.06365,-0.013754,-0.061501,-0.04829
0.048135,0.005368,0.01729,0.023082,-0.018676,-0.039961
0.003827,0.015424,0.01397,0.022797,0.039065,0.006805
0.08883,-0.012074,0.028241,0.026821,0.047558,-0.004967
-0.002451,-0.131141,-0.034894,0.042558,0.026235,-0.012252
-0.038961,0.01938,-0.006065,0.001512,-0.013835,-0.025267
0.012821,-0.098636,0.012778,0.048373,0.030192,0.012398
0.011573,0.015231,0.001636,0.018415,0.016081,0.046769
0.068645,-0.027054,0.065314,0.046729,0.036342,0.052033
-0.003357,0.059272,0.082304,0.000195,0.038462,0.046053
-0.016467,-0.003602,-0.030377,0.006633,-0.010137,-0.052343
-0.039574,0.031574,0.128049,0.232171,-0.019651,-0.007065
-0.039348,-0.01986,-0.038649,-0.058601,0.024432,-0.012962
0.046752,0.042477,-0.080601,-0.043121,0.003882,-0.16415
0.022925,0.027394,-0.004882,-0.009469,0.007735,-0.008248
-0.037209,-0.058257,-0.075253,0.022598,-0.044134,-0.017869
0.030998,0.048144,-0.007673,0.022272,-0.004329,0.124798
0.072237,0.005484,-0.064199,0.024511,-0.025797,-0.031632
-0.060263,-0.012045,-0.010109,0.060768,0.008331,-0.004962
-0.001166,-0.009493,0.064335,-0.116462,0.007128,0.020693
0.080156,0.004441,0.034301,0.038831,0.053377,0.088178
-0.055275,-0.055751,-0.005848,-0.032052,-0.011758,-0.075366
0.076482,0.026544,-0.078823,0.117144,-0.065621,-0.010949
-0.042273,0.014258,0.037292,-0.048765,0.011298,-0.010578
0.012653,0.005004,0.048956,0.025097,0.058108,0.027792
-0.112459,0.00215,0.044776,0.036477,-0.005463,-0.001576
-0.058385,0.049333,-0.027211,-0.029328,-0.00954,-0.02599
0.028698,-0.015898,-0.021867,0.007224,-0.030648,-0.038548
0.032618,0.034403,-0.046635,0.104156,-0.008192,0.00768
0.071904,0.006966,0.017146,0.003691,0.041909,0.049864
0.064202,0.004017,0.071804,-0.008423,0.043746,0.01198
0.049726,0.045658,0.069094,0.064382,-0.005382,0.1268
0.026123,0.00899,0.032751,0.07995,0.004842,-0.001191
0.01703,0.030322,0.037929,-0.002343,0.062642,0.056897
0.03349,-0.007668,0.01745,-0.033016,-0.031174,0.020587
-0.083927,-0.025063,0.031073,-0.02834,-0.023856,-0.059607
-0.01065,0.035561,-0.025626,0.052595,0.01289,0.014203
0.074273,0.087292,-0.00526,0.052087,0.042421,0.084341
0.028393,0.015329,0.071588,0.052154,0.019533,0.046864
-0.039756,-0.006416,-0.028287,0.008537,0.026078,-0.012664
-0.016288,-0.003823,-0.080842,0.014902,0.012539,0.051306
-0.005519,0.032048,0.051145,0.011159,0.002838,0.058202
0.025409,0.074935,0.016615,0.079669,0.072292,0.009512
0.249491,0.074648,-0.001009,-0.006158,-0.005797,-0.014261
